order_id,order_date,product_id,product_name,category,supplier_name,warehouse,stock_quantity,order_quantity,cost_price,selling_price,delivery_days,region,Revenue,Cost,Profit,Inventory_Turnover,Stockout
ORD003157,,P116,Printer Paper,Stationary,XYZ Traders,Chennai WH,802.0,164.0,95.97,277.18,2.0,West,45457.520000000004,15739.08,29718.440000000002,0.20448877805486285,0
ORD003158,2024-07-19,P108,Marker,Maintenance,LMN Corp,Chennai WH,700.0,173.0,44.11,176.6,4.0,North,30551.8,7631.03,22920.77,0.24714285714285714,0
ORD003159,,P100,Notebook,Utilities,ABC Supplies,Delhi WH,111.0,0.0,12.71,124.65,7.0,North,0.0,0.0,0.0,0.0,0
ORD003160,,P158,Notebook,Stationary,LMN Corp,Chennai WH,177.0,151.0,109.3,240.78,2.0,East,36357.78,16504.3,19853.48,0.8531073446327684,0
ORD003141,,P204,Marker,Stationary,LMN Corp,Delhi WH,239.0,10.0,106.73,268.01,1.0,West,2680.1,1067.3,1612.8,0.04184100418410042,0
ORD003142,,P191,Cleaning Liquid,Maintenance,Global Distributors,Delhi WH,466.0,118.0,133.67,173.07,7.0,South,20422.26,15773.059999999998,4649.200000000001,0.2532188841201717,0
ORD003143,,P231,Notebook,Utilities,XYZ Traders,Chennai WH,443.0,142.0,119.3,344.42,7.0,East,48907.64,16940.6,31967.04,0.32054176072234764,0
ORD003144,,P282,Notebook,Utilities,Global Distributors,Mumbai WH,443.0,49.0,61.52,251.91,5.0,East,12343.59,3014.48,9329.11,0.11060948081264109,0
ORD003145,2024-02-03,P275,Printer Paper,Maintenance,XYZ Traders,Delhi WH,0.0,141.0,133.05,145.89,8.0,North,20570.489999999998,18760.050000000003,1810.439999999995,inf,1
ORD003146,,P127,Cleaning Liquid,Stationary,LMN Corp,Mumbai WH,602.0,71.0,93.17,253.15,6.0,East,17973.65,6615.07,11358.580000000002,0.11794019933554817,0
ORD003147,,P236,Pen,Utilities,XYZ Traders,Pune WH,282.0,75.0,208.07,172.23,6.0,East,12917.25,15605.25,-2688.0,0.26595744680851063,0
ORD003148,,P295,Water Bottle,Utilities,Global Distributors,Pune WH,159.0,0.0,16.21,160.45,3.0,North,0.0,0.0,0.0,0.0,0
ORD003149,2024-04-27,P217,Cleaning Liquid,Stationary,XYZ Traders,Chennai WH,330.0,143.0,128.12,278.04,6.0,East,39759.72,18321.16,21438.56,0.43333333333333335,0
ORD003150,,P145,Cleaning Liquid,Maintenance,ABC Supplies,Delhi WH,102.0,62.0,113.95,65.75,8.0,South,4076.5,7064.900000000001,-2988.4000000000005,0.6078431372549019,0
ORD003131,,P208,Marker,Utilities,ABC Supplies,Mumbai WH,0.0,103.0,192.73,254.94,7.0,West,26258.82,19851.19,6407.630000000001,inf,1
ORD003132,,P191,Water Bottle,Utilities,LMN Corp,Chennai WH,443.0,58.0,20.43,156.34,10.0,East,9067.72,1184.94,7882.779999999999,0.1309255079006772,0
ORD003133,,P203,Pen,Maintenance,ABC Supplies,Pune WH,225.0,0.0,147.87,135.01,6.0,West,0.0,0.0,0.0,0.0,0
ORD003134,2024-11-19,P126,Printer Paper,Maintenance,XYZ Traders,Chennai WH,547.0,62.0,167.43,90.33,1.0,South,5600.46,10380.66,-4780.2,0.113345521023766,0
ORD003135,2024-10-01,P113,Printer Paper,Stationary,XYZ Traders,Mumbai WH,387.0,94.0,145.18,220.47,8.0,North,20724.18,13646.92,7077.26,0.24289405684754523,0
ORD003136,,P192,Marker,Utilities,XYZ Traders,Mumbai WH,366.0,115.0,144.91,242.04,6.0,West,27834.6,16664.649999999998,11169.95,0.31420765027322406,0
ORD003137,,P160,Notebook,Utilities,Global Distributors,Mumbai WH,600.0,70.0,27.64,201.89,2.0,West,14132.3,1934.8,12197.5,0.11666666666666667,0
ORD003138,2024-08-10,P247,Cleaning Liquid,Stationary,ABC Supplies,Pune WH,561.0,48.0,20.15,279.5,6.0,North,13416.0,967.1999999999999,12448.8,0.0855614973262032,0
ORD003139,,P149,Pen,Maintenance,Global Distributors,Delhi WH,112.0,4.0,80.72,206.25,3.0,East,825.0,322.88,502.12,0.03571428571428571,0
ORD003140,2024-08-14,P211,Cleaning Liquid,Maintenance,ABC Supplies,Chennai WH,760.0,103.0,144.25,80.22,6.0,East,8262.66,14857.75,-6595.09,0.1355263157894737,0
ORD003121,,P278,Water Bottle,Maintenance,XYZ Traders,Chennai WH,303.0,168.0,48.42,66.24,7.0,West,11128.32,8134.56,2993.7599999999993,0.5544554455445545,0
ORD003122,,P137,Marker,Stationary,LMN Corp,Pune WH,897.0,185.0,189.81,266.62,1.0,North,49324.700000000004,35114.85,14209.850000000006,0.20624303232998886,0
ORD003123,,P131,Marker,Utilities,LMN Corp,Pune WH,443.0,59.0,105.3,162.75,7.0,East,9602.25,6212.7,3389.55,0.13318284424379231,0
ORD003124,,P213,Marker,Utilities,LMN Corp,Chennai WH,187.0,108.0,86.55,161.01,10.0,East,17389.079999999998,9347.4,8041.6799999999985,0.5775401069518716,0
ORD003125,,P201,Pen,Stationary,Global Distributors,Pune WH,301.0,57.0,,289.84,6.0,West,16520.879999999997,,,0.1893687707641196,0
ORD003126,,P178,Notebook,Stationary,LMN Corp,Chennai WH,979.0,35.0,53.5,214.21,8.0,North,7497.35,1872.5,5624.85,0.03575076608784474,0
ORD003127,,P125,Pen,Utilities,XYZ Traders,Chennai WH,443.0,179.0,154.4,240.4,10.0,East,43031.6,27637.600000000002,15393.999999999996,0.4040632054176072,0
ORD003128,,P196,Cleaning Liquid,Utilities,XYZ Traders,Mumbai WH,12.0,56.0,144.25,107.23,1.0,North,6004.88,8078.0,-2073.12,4.666666666666667,0
ORD003129,,P176,Water Bottle,Stationary,XYZ Traders,Mumbai WH,313.0,0.0,11.66,137.37,7.0,West,0.0,0.0,0.0,0.0,0
ORD003130,,P168,Marker,Stationary,XYZ Traders,Chennai WH,788.0,177.0,56.88,185.54,1.0,East,32840.58,10067.76,22772.82,0.22461928934010153,0
ORD003111,,P112,Marker,Maintenance,ABC Supplies,Pune WH,400.0,194.0,186.41,53.83,8.0,South,10443.02,36163.54,-25720.52,0.485,0
ORD003112,,P148,Printer Paper,Stationary,LMN Corp,Chennai WH,333.0,61.0,124.83,92.68,8.0,East,5653.4800000000005,7614.63,-1961.1499999999996,0.1831831831831832,0
ORD003113,2024-08-24,P118,Marker,Utilities,ABC Supplies,Chennai WH,208.0,0.0,197.74,184.47,6.0,South,0.0,0.0,0.0,0.0,0
ORD003114,2024-04-13,P257,Printer Paper,Stationary,Global Distributors,Pune WH,307.0,79.0,13.63,284.33,10.0,East,22462.07,1076.77,21385.3,0.25732899022801303,0
ORD003115,,P255,Water Bottle,Utilities,XYZ Traders,Pune WH,992.0,58.0,91.56,89.26,4.0,North,5177.08,5310.4800000000005,-133.40000000000055,0.05846774193548387,0
ORD003116,,P129,Water Bottle,Maintenance,Global Distributors,Mumbai WH,443.0,34.0,169.35,231.42,10.0,South,7868.28,5757.9,2110.38,0.07674943566591422,0
ORD003117,,P220,Notebook,Maintenance,ABC Supplies,Mumbai WH,706.0,142.0,180.45,279.56,5.0,South,39697.52,25623.899999999998,14073.619999999999,0.20113314447592068,0
ORD003118,,P189,Marker,Utilities,LMN Corp,Pune WH,314.0,147.0,79.72,348.94,8.0,West,51294.18,11718.84,39575.34,0.4681528662420382,0
ORD003119,,P237,Pen,Utilities,LMN Corp,Chennai WH,780.0,107.0,41.36,92.39,6.0,East,9885.73,4425.5199999999995,5460.21,0.1371794871794872,0
ORD003120,,P136,Notebook,Utilities,XYZ Traders,Chennai WH,418.0,8.0,179.61,270.59,2.0,East,2164.72,1436.88,727.8399999999997,0.019138755980861243,0
ORD003101,2024-10-26,P146,Water Bottle,Maintenance,ABC Supplies,Mumbai WH,443.0,0.0,105.42,207.26,6.0,South,0.0,0.0,0.0,0.0,0
ORD003102,,P125,Water Bottle,Maintenance,ABC Supplies,Chennai WH,761.0,99.0,60.95,159.35,8.0,South,15775.65,6034.05,9741.599999999999,0.13009198423127463,0
ORD003103,2024-10-13,P133,Pen,Maintenance,ABC Supplies,Pune WH,443.0,29.0,165.55,187.85,2.0,South,5447.65,4800.950000000001,646.6999999999989,0.0654627539503386,0
ORD003104,,P137,Pen,Stationary,Global Distributors,Chennai WH,116.0,0.0,111.16,153.98,6.0,West,0.0,0.0,0.0,0.0,0
ORD003105,,P137,Pen,Utilities,Global Distributors,Delhi WH,581.0,186.0,59.26,139.32,6.0,North,25913.52,11022.359999999999,14891.160000000002,0.32013769363166955,0
ORD003106,,P182,Printer Paper,Maintenance,Global Distributors,Mumbai WH,970.0,26.0,160.86,95.31,6.0,South,2478.06,4182.360000000001,-1704.3000000000006,0.026804123711340205,0
ORD003107,,P237,Cleaning Liquid,Utilities,XYZ Traders,Chennai WH,797.0,41.0,106.68,142.48,6.0,South,5841.679999999999,4373.88,1467.7999999999993,0.05144291091593475,0
ORD003108,,P211,Marker,Maintenance,ABC Supplies,Pune WH,755.0,158.0,99.71,169.07,2.0,West,26713.059999999998,15754.179999999998,10958.88,0.20927152317880796,0
ORD003109,,P124,Marker,Utilities,ABC Supplies,Pune WH,181.0,14.0,175.77,84.97,6.0,North,1189.58,2460.78,-1271.2000000000003,0.07734806629834254,0
ORD003110,,P257,Cleaning Liquid,Utilities,Global Distributors,Mumbai WH,541.0,0.0,26.12,184.85,6.0,North,0.0,0.0,0.0,0.0,0
ORD003291,2024-09-22,P211,Marker,Utilities,Global Distributors,Pune WH,126.0,152.0,12.65,170.19,9.0,East,25868.88,1922.8,23946.08,1.2063492063492063,0
ORD003292,,P129,Printer Paper,Maintenance,LMN Corp,Delhi WH,443.0,138.0,31.94,311.88,1.0,South,43039.44,4407.72,38631.72,0.3115124153498871,0
ORD003293,,P199,Cleaning Liquid,Stationary,LMN Corp,Pune WH,699.0,95.0,51.56,247.08,6.0,South,23472.600000000002,4898.2,18574.4,0.13590844062947066,0
ORD003294,,P236,Marker,Maintenance,LMN Corp,Delhi WH,285.0,179.0,24.78,153.84,6.0,West,27537.36,4435.62,23101.74,0.6280701754385964,0
ORD003295,,P100,Marker,Maintenance,Global Distributors,Chennai WH,851.0,0.0,32.4,136.29,7.0,West,0.0,0.0,0.0,0.0,0
ORD003296,,P254,Water Bottle,Stationary,ABC Supplies,Chennai WH,668.0,46.0,181.45,108.52,1.0,West,4991.92,8346.699999999999,-3354.779999999999,0.0688622754491018,0
ORD003297,,P266,Water Bottle,Utilities,XYZ Traders,Mumbai WH,443.0,101.0,45.06,283.67,10.0,West,28650.670000000002,4551.06,24099.61,0.22799097065462753,0
ORD003298,,P237,Printer Paper,Utilities,LMN Corp,Chennai WH,443.0,112.0,119.39,145.91,6.0,North,16341.92,13371.68,2970.24,0.2528216704288939,0
ORD003299,,P251,Printer Paper,Stationary,ABC Supplies,Chennai WH,0.0,122.0,182.84,327.35,5.0,South,39936.700000000004,22306.48,17630.220000000005,inf,1
ORD003300,,P170,Cleaning Liquid,Stationary,LMN Corp,Pune WH,672.0,18.0,21.86,142.62,10.0,South,2567.16,393.48,2173.68,0.026785714285714284,0
ORD003281,2024-10-26,P241,Printer Paper,Stationary,ABC Supplies,Mumbai WH,443.0,0.0,132.77,203.42,6.0,South,0.0,0.0,0.0,0.0,0
ORD003282,,P105,Printer Paper,Stationary,Global Distributors,Chennai WH,456.0,98.0,67.31,50.22,8.0,North,4921.5599999999995,6596.38,-1674.8200000000006,0.2149122807017544,0
ORD003283,,P299,Marker,Stationary,LMN Corp,Pune WH,443.0,67.0,15.83,201.69,9.0,East,13513.23,1060.61,12452.619999999999,0.15124153498871332,0
ORD003284,,P100,Pen,Utilities,Global Distributors,Delhi WH,587.0,0.0,178.43,332.04,6.0,East,0.0,0.0,0.0,0.0,0
ORD003285,,P143,Water Bottle,Stationary,LMN Corp,Pune WH,339.0,33.0,144.44,135.24,1.0,West,4462.92,4766.5199999999995,-303.59999999999945,0.09734513274336283,0
ORD003286,2024-02-04,P283,Notebook,Maintenance,LMN Corp,Delhi WH,563.0,63.0,152.02,234.57,6.0,North,14777.91,9577.26,5200.65,0.11190053285968028,0
ORD003287,2024-06-18,P281,Printer Paper,Maintenance,LMN Corp,Chennai WH,275.0,53.0,62.91,232.09,6.0,North,12300.77,3334.23,8966.54,0.19272727272727272,0
ORD003288,,P227,Water Bottle,Utilities,LMN Corp,Mumbai WH,530.0,168.0,35.44,295.09,8.0,East,49575.119999999995,5953.92,43621.2,0.3169811320754717,0
ORD003289,2024-05-23,P290,Marker,Stationary,XYZ Traders,Delhi WH,911.0,29.0,119.06,54.89,6.0,North,1591.81,3452.7400000000002,-1860.9300000000003,0.031833150384193196,0
ORD003290,,P248,Cleaning Liquid,Maintenance,XYZ Traders,Mumbai WH,568.0,173.0,95.97,161.55,6.0,West,27948.15,16602.81,11345.34,0.3045774647887324,0
ORD003271,2024-07-12,P200,Cleaning Liquid,Stationary,LMN Corp,Mumbai WH,239.0,73.0,55.8,62.41,6.0,North,4555.929999999999,4073.3999999999996,482.52999999999975,0.3054393305439331,0
ORD003272,2024-02-27,P191,Water Bottle,Maintenance,Global Distributors,Pune WH,443.0,99.0,77.54,330.79,10.0,South,32748.210000000003,7676.460000000001,25071.75,0.2234762979683973,0
ORD003273,,P232,Cleaning Liquid,Maintenance,Global Distributors,Delhi WH,443.0,108.0,79.64,271.68,9.0,South,29341.440000000002,8601.12,20740.32,0.24379232505643342,0
ORD003274,2024-04-14,P156,Marker,Maintenance,ABC Supplies,Mumbai WH,0.0,133.0,146.51,338.83,6.0,East,45064.39,19485.829999999998,25578.56,inf,1
ORD003275,,P127,Notebook,Maintenance,Global Distributors,Mumbai WH,443.0,72.0,54.07,324.31,5.0,West,23350.32,3893.04,19457.28,0.16252821670428894,0
ORD003276,,P146,Notebook,Utilities,Global Distributors,Pune WH,118.0,129.0,95.31,136.15,4.0,West,17563.350000000002,12294.99,5268.360000000002,1.0932203389830508,0
ORD003277,2024-11-09,P117,Cleaning Liquid,Stationary,LMN Corp,Pune WH,989.0,148.0,,284.33,5.0,South,42080.84,,,0.14964610717896865,0
ORD003278,,P253,Pen,Utilities,ABC Supplies,Delhi WH,475.0,81.0,100.02,319.03,4.0,South,25841.429999999997,8101.62,17739.809999999998,0.1705263157894737,0
ORD003279,,P171,Cleaning Liquid,Utilities,XYZ Traders,Delhi WH,491.0,57.0,148.28,214.78,4.0,West,12242.460000000001,8451.960000000001,3790.5,0.11608961303462322,0
ORD003280,2024-11-03,P172,Notebook,Stationary,LMN Corp,Chennai WH,882.0,155.0,203.58,171.92,6.0,North,26647.6,31554.9,-4907.300000000003,0.17573696145124718,0
ORD003261,,P106,Notebook,Utilities,LMN Corp,Pune WH,344.0,135.0,92.15,265.93,3.0,West,35900.55,12440.25,23460.300000000003,0.39244186046511625,0
ORD003262,,P136,Printer Paper,Utilities,Global Distributors,Delhi WH,858.0,0.0,19.79,218.56,3.0,North,0.0,0.0,0.0,0.0,0
ORD003263,,P174,Printer Paper,Stationary,XYZ Traders,Pune WH,443.0,176.0,135.24,336.01,6.0,North,59137.759999999995,23802.24,35335.51999999999,0.3972911963882618,0
ORD003264,2024-07-07,P133,Notebook,Maintenance,Global Distributors,Chennai WH,672.0,44.0,23.17,122.91,6.0,South,5408.04,1019.48,4388.5599999999995,0.06547619047619048,0
ORD003265,,P222,Marker,Maintenance,XYZ Traders,Delhi WH,319.0,0.0,16.02,119.78,6.0,North,0.0,0.0,0.0,0.0,0
ORD003266,2024-06-17,P163,Notebook,Stationary,Global Distributors,Mumbai WH,637.0,155.0,29.86,321.74,6.0,North,49869.700000000004,4628.3,45241.4,0.24332810047095763,0
ORD003267,,P181,Notebook,Stationary,XYZ Traders,Chennai WH,213.0,83.0,34.49,215.49,7.0,West,17885.670000000002,2862.67,15023.000000000002,0.38967136150234744,0
ORD003268,,P227,Printer Paper,Maintenance,LMN Corp,Mumbai WH,76.0,91.0,83.24,300.55,7.0,North,27350.05,7574.839999999999,19775.21,1.1973684210526316,0
ORD003269,,P178,Printer Paper,Utilities,LMN Corp,Chennai WH,837.0,0.0,33.13,316.51,7.0,East,0.0,0.0,0.0,0.0,0
ORD003270,2024-11-06,P279,Cleaning Liquid,Maintenance,ABC Supplies,Mumbai WH,197.0,90.0,104.69,326.46,6.0,West,29381.399999999998,9422.1,19959.299999999996,0.45685279187817257,0
ORD003251,,P248,Marker,Stationary,ABC Supplies,Chennai WH,264.0,127.0,197.76,75.57,6.0,North,9597.39,25115.52,-15518.130000000001,0.4810606060606061,0
ORD003252,2024-05-04,P152,Notebook,Utilities,XYZ Traders,Delhi WH,0.0,52.0,,108.59,6.0,East,5646.68,,,inf,1
ORD003253,2024-08-01,P229,Pen,Utilities,Global Distributors,Pune WH,214.0,101.0,,336.25,6.0,North,33961.25,,,0.4719626168224299,0
ORD003254,,P149,Marker,Maintenance,ABC Supplies,Delhi WH,61.0,10.0,119.44,327.85,6.0,South,3278.5,1194.4,2084.1,0.16393442622950818,0
ORD003255,,P282,Notebook,Utilities,Global Distributors,Delhi WH,443.0,0.0,52.41,243.43,4.0,South,0.0,0.0,0.0,0.0,0
ORD003256,2024-12-29,P263,Printer Paper,Stationary,Global Distributors,Delhi WH,723.0,132.0,46.1,185.82,5.0,North,24528.239999999998,6085.2,18443.039999999997,0.1825726141078838,0
ORD003257,,P250,Printer Paper,Stationary,ABC Supplies,Chennai WH,838.0,130.0,123.81,333.16,7.0,East,43310.8,16095.300000000001,27215.5,0.15513126491646778,0
ORD003258,,P126,Water Bottle,Utilities,Global Distributors,Chennai WH,199.0,107.0,149.31,172.58,9.0,South,18466.06,15976.17,2489.8900000000012,0.5376884422110553,0
ORD003259,,P283,Cleaning Liquid,Maintenance,Global Distributors,Mumbai WH,642.0,104.0,181.06,209.02,5.0,North,21738.08,18830.24,2907.84,0.16199376947040497,0
ORD003260,,P179,Water Bottle,Stationary,XYZ Traders,Delhi WH,118.0,100.0,19.76,174.54,3.0,East,17454.0,1976.0000000000002,15478.0,0.847457627118644,0
ORD003241,,P151,Printer Paper,Maintenance,XYZ Traders,Delhi WH,587.0,105.0,50.98,99.45,4.0,East,10442.25,5352.9,5089.35,0.1788756388415673,0
ORD003242,2024-06-02,P211,Marker,Maintenance,ABC Supplies,Delhi WH,761.0,94.0,42.09,294.54,6.0,South,27686.760000000002,3956.4600000000005,23730.300000000003,0.12352168199737187,0
ORD003243,,P190,Printer Paper,Stationary,LMN Corp,Mumbai WH,686.0,58.0,79.79,51.57,1.0,West,2991.06,4627.820000000001,-1636.7600000000007,0.08454810495626822,0
ORD003244,,P159,Notebook,Utilities,Global Distributors,Chennai WH,617.0,173.0,185.66,315.24,6.0,West,54536.520000000004,32119.18,22417.340000000004,0.28038897893030795,0
ORD003245,,P286,Printer Paper,Utilities,LMN Corp,Chennai WH,962.0,0.0,122.92,145.11,2.0,West,0.0,0.0,0.0,0.0,0
ORD003246,,P236,Printer Paper,Stationary,XYZ Traders,Pune WH,566.0,136.0,42.81,336.49,5.0,West,45762.64,5822.16,39940.479999999996,0.24028268551236748,0
ORD003247,,P147,Notebook,Utilities,ABC Supplies,Delhi WH,487.0,20.0,13.09,166.5,4.0,West,3330.0,261.8,3068.2,0.04106776180698152,0
ORD003248,,P273,Notebook,Stationary,ABC Supplies,Pune WH,443.0,134.0,41.14,324.89,6.0,East,43535.259999999995,5512.76,38022.49999999999,0.30248306997742663,0
