order_id,order_date,product_id,product_name,category,supplier_name,warehouse,stock_quantity,order_quantity,cost_price,selling_price,delivery_days,region
ORD003175,2024/09/19,P210,Marker,Utilities,"Global Distributors","Delhi WH",604,120,209.81,216.75,two,South
ORD003176,2024-13-01,P156,"Printer Paper",Utilities,"LMN Corp","Mumbai WH",400,71,32.55,325.67,two,North
ORD003177,03/03/2024,P211,Notebook,Maintenance,"LMN Corp","Delhi WH",238,68,84.38,NULL,3,South
ORD003178,16/08/2024,P299,"Printer Paper",Utilities,"XYZ Traders","Chennai WH",537,NULL,124.29,229.22,5,South
ORD003179,,P251,Pen,Maintenance,"ABC Supplies","Chennai WH",291,83,90.77,328,9,West
ORD003180,,P184,"Water Bottle",Stationary,"XYZ Traders","Chennai WH",393,86,145.03,330.3,3,North
ORD003161,2024/06/29,P157,"Cleaning Liquid",Maintenance,"Global Distributors","Chennai WH",269,183,186.98,213.09,9,West
ORD003162,,P114,"Water Bottle",Utilities,"Global Distributors","Chennai WH",495,132,160.83,162.66,9,West
ORD003163,2024/08/30,P189,Notebook,Maintenance,"XYZ Traders","Pune WH",?,0,140.48,205.49,6,East
ORD003164,2024-12-16,P150,Pen,Stationary,"LMN Corp","Mumbai WH",?,57,97.59,276.06,3,North
ORD003165,2024/12/04,P242,"Water Bottle",Maintenance,"ABC Supplies","Mumbai WH",602,15,197.81,91.62,,East
ORD003166,2024/05/12,P243,Pen,Utilities,"ABC Supplies","Mumbai WH",NULL,82,147.82,165.36,,South
ORD003167,2024-13-01,P234,Pen,Stationary,"Global Distributors","Chennai WH",827,87,120.95,231.14,two,North
ORD003168,2024-13-01,P163,"Printer Paper",Maintenance,"ABC Supplies","Mumbai WH",730,184,199.82,274.23,4,East
ORD003169,2024/11/08,P291,Notebook,Stationary,"XYZ Traders","Delhi WH",NULL,3,142.27,172.8,two,East
ORD003170,30/12/2024,P242,Marker,Maintenance,"Global Distributors","Pune WH",71,0,62,203.32,4,North
ORD003151,2024/04/05,P154,Marker,Stationary,"LMN Corp","Pune WH",142,0,50.55,NULL,10,East
ORD003152,2024-13-01,P181,"Cleaning Liquid",Stationary,"LMN Corp","Mumbai WH",?,18,108.79,209.25,5,North
ORD003153,2024-12-29,P137,"Cleaning Liquid",Stationary,"XYZ Traders","Mumbai WH",352,81,129.8,269.91,9,South
ORD003154,,P289,"Printer Paper",Utilities,"Global Distributors","Chennai WH",NULL,84,?,253.13,8,North
ORD003155,2024/02/03,P164,Notebook,Maintenance,"XYZ Traders","Pune WH",372,0,19.84,273.65,3,East
ORD003156,,P295,Pen,Stationary,"XYZ Traders","Delhi WH",?,92,190.61,348.24,8,South
ORD003157,2024-13-01,P116,"Printer Paper",Stationary,"XYZ Traders","Chennai WH",802,164,95.97,277.18,2,West
ORD003158,2024/07/19,P108,Marker,Maintenance,"LMN Corp","Chennai WH",700,173,44.11,176.6,4,North
ORD003159,2024-13-01,P100,Notebook,Utilities,"ABC Supplies","Delhi WH",111,0,12.71,124.65,7,North
ORD003160,,P158,Notebook,Stationary,"LMN Corp","Chennai WH",177,151,109.3,240.78,2,East
ORD003141,2024-13-01,P204,Marker,Stationary,"LMN Corp","Delhi WH",239,10,106.73,268.01,1,West
ORD003142,,P191,"Cleaning Liquid",Maintenance,"Global Distributors","Delhi WH",466,118,133.67,173.07,7,South
ORD003143,,P231,Notebook,Utilities,"XYZ Traders","Chennai WH",?,142,119.3,344.42,7,East
ORD003144,07/06/2024,P282,Notebook,Utilities,"Global Distributors","Mumbai WH",?,49,61.52,251.91,5,East
ORD003145,2024/02/03,P275,"Printer Paper",Maintenance,"XYZ Traders","Delhi WH",-50,141,133.05,145.89,8,North
ORD003146,04/12/2024,P127,"Cleaning Liquid",Stationary,"LMN Corp","Mumbai WH",602,71,93.17,253.15,,East
ORD003147,2024-13-01,P236,Pen,Utilities,"XYZ Traders","Pune WH",282,75,208.07,172.23,two,East
ORD003148,23/01/2024,P295,"Water Bottle",Utilities,"Global Distributors","Pune WH",159,0,16.21,160.45,3,North
ORD003149,2024/04/27,P217,"Cleaning Liquid",Stationary,"XYZ Traders","Chennai WH",330,143,128.12,278.04,,East
ORD003150,2024-13-01,P145,"Cleaning Liquid",Maintenance,"ABC Supplies","Delhi WH",102,62,113.95,65.75,8,South
ORD003131,,P208,Marker,Utilities,"ABC Supplies","Mumbai WH",-50,103,192.73,254.94,7,West
ORD003132,07/07/2024,P191,"Water Bottle",Utilities,"LMN Corp","Chennai WH",NULL,58,20.43,156.34,10,East
ORD003133,,P203,Pen,Maintenance,"ABC Supplies","Pune WH",225,0,147.87,135.01,,West
ORD003134,2024/11/19,P126,"Printer Paper",Maintenance,"XYZ Traders","Chennai WH",547,62,167.43,90.33,1,South
ORD003135,2024/10/01,P113,"Printer Paper",Stationary,"XYZ Traders","Mumbai WH",387,94,145.18,220.47,8,North
ORD003136,02/12/2024,P192,Marker,Utilities,"XYZ Traders","Mumbai WH",366,115,144.91,242.04,,West
ORD003137,2024-13-01,P160,Notebook,Utilities,"Global Distributors","Mumbai WH",600,70,27.64,201.89,2,West
ORD003138,2024/08/10,P247,"Cleaning Liquid",Stationary,"ABC Supplies","Pune WH",561,48,20.15,279.5,,North
ORD003139,2024-08-18,P149,Pen,Maintenance,"Global Distributors","Delhi WH",112,4,80.72,206.25,3,East
ORD003140,2024/08/14,P211,"Cleaning Liquid",Maintenance,"ABC Supplies","Chennai WH",760,103,144.25,80.22,two,East
ORD003121,,P278,"Water Bottle",Maintenance,"XYZ Traders","Chennai WH",303,168,48.42,66.24,7,West
ORD003122,15/02/2024,P137,Marker,Stationary,"LMN Corp","Pune WH",897,185,189.81,266.62,1,North
ORD003123,2024-13-01,P131,Marker,Utilities,"LMN Corp","Pune WH",?,59,105.3,162.75,7,East
ORD003124,24/09/2024,P213,Marker,Utilities,"LMN Corp","Chennai WH",187,108,86.55,161.01,10,East
ORD003125,,P201,Pen,Stationary,"Global Distributors","Pune WH",301,57,?,289.84,,West
ORD003126,,P178,Notebook,Stationary,"LMN Corp","Chennai WH",979,35,53.5,214.21,8,North
ORD003127,02/02/2024,P125,Pen,Utilities,"XYZ Traders","Chennai WH",NULL,179,154.4,240.4,10,East
ORD003128,2024-13-01,P196,"Cleaning Liquid",Utilities,"XYZ Traders","Mumbai WH",12,56,144.25,107.23,1,North
ORD003129,,P176,"Water Bottle",Stationary,"XYZ Traders","Mumbai WH",313,0,11.66,137.37,7,West
ORD003130,2024-13-01,P168,Marker,Stationary,"XYZ Traders","Chennai WH",788,177,56.88,185.54,1,East
ORD003111,2024-13-01,P112,Marker,Maintenance,"ABC Supplies","Pune WH",400,194,186.41,53.83,8,South
ORD003112,24/09/2024,P148,"Printer Paper",Stationary,"LMN Corp","Chennai WH",333,61,124.83,92.68,8,East
ORD003113,2024/08/24,P118,Marker,Utilities,"ABC Supplies","Chennai WH",208,0,197.74,184.47,,South
ORD003114,2024/04/13,P257,"Printer Paper",Stationary,"Global Distributors","Pune WH",307,79,13.63,284.33,10,East
ORD003115,2024-13-01,P255,"Water Bottle",Utilities,"XYZ Traders","Pune WH",992,58,91.56,89.26,4,North
ORD003116,2024-01-07,P129,"Water Bottle",Maintenance,"Global Distributors","Mumbai WH",NULL,34,169.35,231.42,10,South
ORD003117,,P220,Notebook,Maintenance,"ABC Supplies","Mumbai WH",706,142,180.45,279.56,5,South
ORD003118,,P189,Marker,Utilities,"LMN Corp","Pune WH",314,147,79.72,348.94,8,West
ORD003119,,P237,Pen,Utilities,"LMN Corp","Chennai WH",780,107,41.36,92.39,6,East
ORD003120,28/03/2024,P136,Notebook,Utilities,"XYZ Traders","Chennai WH",418,8,179.61,270.59,2,East
ORD003101,2024/10/26,P146,"Water Bottle",Maintenance,"ABC Supplies","Mumbai WH",?,0,105.42,207.26,two,South
ORD003102,08/12/2024,P125,"Water Bottle",Maintenance,"ABC Supplies","Chennai WH",761,99,60.95,159.35,8,South
ORD003103,2024/10/13,P133,Pen,Maintenance,"ABC Supplies","Pune WH",NULL,29,165.55,187.85,2,South
ORD003104,11/07/2024,P137,Pen,Stationary,"Global Distributors","Chennai WH",116,0,111.16,153.98,two,West
ORD003105,05/07/2024,P137,Pen,Utilities,"Global Distributors","Delhi WH",581,186,59.26,139.32,two,North
ORD003106,06/09/2024,P182,"Printer Paper",Maintenance,"Global Distributors","Mumbai WH",970,26,160.86,95.31,,South
ORD003107,04/11/2024,P237,"Cleaning Liquid",Utilities,"XYZ Traders","Chennai WH",797,41,106.68,142.48,two,South
ORD003108,,P211,Marker,Maintenance,"ABC Supplies","Pune WH",755,158,99.71,169.07,2,West
ORD003109,,P124,Marker,Utilities,"ABC Supplies","Pune WH",181,14,175.77,84.97,6,North
ORD003110,2024-13-01,P257,"Cleaning Liquid",Utilities,"Global Distributors","Mumbai WH",541,NULL,26.12,184.85,6,North
ORD003291,2024/09/22,P211,Marker,Utilities,"Global Distributors","Pune WH",126,152,12.65,170.19,9,East
ORD003292,,P129,"Printer Paper",Maintenance,"LMN Corp","Delhi WH",NULL,138,31.94,311.88,1,South
ORD003293,,P199,"Cleaning Liquid",Stationary,"LMN Corp","Pune WH",699,95,51.56,247.08,6,South
ORD003294,10/12/2024,P236,Marker,Maintenance,"LMN Corp","Delhi WH",285,179,24.78,153.84,6,West
ORD003295,,P100,Marker,Maintenance,"Global Distributors","Chennai WH",851,0,32.4,136.29,7,West
ORD003296,,P254,"Water Bottle",Stationary,"ABC Supplies","Chennai WH",668,46,181.45,108.52,1,West
ORD003297,,P266,"Water Bottle",Utilities,"XYZ Traders","Mumbai WH",NULL,101,45.06,283.67,10,West
ORD003298,12/10/2024,P237,"Printer Paper",Utilities,"LMN Corp","Chennai WH",NULL,112,119.39,145.91,,North
ORD003299,21/07/2024,P251,"Printer Paper",Stationary,"ABC Supplies","Chennai WH",-50,122,182.84,327.35,5,South
ORD003300,20/04/2024,P170,"Cleaning Liquid",Stationary,"LMN Corp","Pune WH",672,18,21.86,142.62,10,South
ORD003281,2024/10/26,P241,"Printer Paper",Stationary,"ABC Supplies","Mumbai WH",NULL,NULL,132.77,203.42,,South
ORD003282,11/01/2024,P105,"Printer Paper",Stationary,"Global Distributors","Chennai WH",456,98,67.31,50.22,8,North
ORD003283,09/02/2024,P299,Marker,Stationary,"LMN Corp","Pune WH",NULL,67,15.83,201.69,9,East
ORD003284,,P100,Pen,Utilities,"Global Distributors","Delhi WH",587,0,178.43,332.04,6,East
ORD003285,2024-13-01,P143,"Water Bottle",Stationary,"LMN Corp","Pune WH",339,33,144.44,135.24,1,West
ORD003286,2024/02/04,P283,Notebook,Maintenance,"LMN Corp","Delhi WH",563,63,152.02,234.57,two,North
ORD003287,2024/06/18,P281,"Printer Paper",Maintenance,"LMN Corp","Chennai WH",275,53,62.91,232.09,,North
ORD003288,,P227,"Water Bottle",Utilities,"LMN Corp","Mumbai WH",530,168,35.44,295.09,8,East
ORD003289,2024/05/23,P290,Marker,Stationary,"XYZ Traders","Delhi WH",911,29,119.06,54.89,two,North
ORD003290,,P248,"Cleaning Liquid",Maintenance,"XYZ Traders","Mumbai WH",568,173,95.97,161.55,two,West
ORD003271,2024/07/12,P200,"Cleaning Liquid",Stationary,"LMN Corp","Mumbai WH",239,73,55.8,62.41,6,North
ORD003272,2024/02/27,P191,"Water Bottle",Maintenance,"Global Distributors","Pune WH",?,99,77.54,330.79,10,South
ORD003273,,P232,"Cleaning Liquid",Maintenance,"Global Distributors","Delhi WH",NULL,108,79.64,271.68,9,South
ORD003274,2024/04/14,P156,Marker,Maintenance,"ABC Supplies","Mumbai WH",-50,133,146.51,338.83,,East
ORD003275,20/02/2024,P127,Notebook,Maintenance,"Global Distributors","Mumbai WH",?,72,54.07,324.31,5,West
ORD003276,2024-13-01,P146,Notebook,Utilities,"Global Distributors","Pune WH",118,129,95.31,136.15,4,West
ORD003277,2024/11/09,P117,"Cleaning Liquid",Stationary,"LMN Corp","Pune WH",989,148,?,284.33,5,South
ORD003278,01/03/2024,P253,Pen,Utilities,"ABC Supplies","Delhi WH",475,81,100.02,319.03,4,South
ORD003279,2024-08-13,P171,"Cleaning Liquid",Utilities,"XYZ Traders","Delhi WH",491,57,148.28,214.78,4,West
ORD003280,2024/11/03,P172,Notebook,Stationary,"LMN Corp","Chennai WH",882,155,203.58,171.92,,North
ORD003261,,P106,Notebook,Utilities,"LMN Corp","Pune WH",344,135,92.15,265.93,3,West
ORD003262,,P136,"Printer Paper",Utilities,"Global Distributors","Delhi WH",858,0,19.79,218.56,3,North
ORD003263,,P174,"Printer Paper",Stationary,"XYZ Traders","Pune WH",?,176,135.24,336.01,6,North
ORD003264,2024/07/07,P133,Notebook,Maintenance,"Global Distributors","Chennai WH",672,44,23.17,122.91,,South
ORD003265,,P222,Marker,Maintenance,"XYZ Traders","Delhi WH",319,NULL,16.02,119.78,,North
ORD003266,2024/06/17,P163,Notebook,Stationary,"Global Distributors","Mumbai WH",637,155,29.86,321.74,two,North
ORD003267,,P181,Notebook,Stationary,"XYZ Traders","Chennai WH",213,83,34.49,215.49,7,West
ORD003268,05/01/2024,P227,"Printer Paper",Maintenance,"LMN Corp","Mumbai WH",76,91,83.24,300.55,7,North
ORD003269,2024-13-01,P178,"Printer Paper",Utilities,"LMN Corp","Chennai WH",837,0,33.13,316.51,7,East
ORD003270,2024/11/06,P279,"Cleaning Liquid",Maintenance,"ABC Supplies","Mumbai WH",197,90,104.69,326.46,two,West
ORD003251,,P248,Marker,Stationary,"ABC Supplies","Chennai WH",264,127,197.76,75.57,,North
ORD003252,2024/05/04,P152,Notebook,Utilities,"XYZ Traders","Delhi WH",-50,52,?,108.59,6,East
ORD003253,2024/08/01,P229,Pen,Utilities,"Global Distributors","Pune WH",214,101,?,336.25,6,North
ORD003254,,P149,Marker,Maintenance,"ABC Supplies","Delhi WH",61,10,119.44,327.85,two,South
ORD003255,08/06/2024,P282,Notebook,Utilities,"Global Distributors","Delhi WH",NULL,0,52.41,243.43,4,South
ORD003256,2024/12/29,P263,"Printer Paper",Stationary,"Global Distributors","Delhi WH",723,132,46.1,185.82,5,North
ORD003257,21/07/2024,P250,"Printer Paper",Stationary,"ABC Supplies","Chennai WH",838,130,123.81,333.16,7,East
ORD003258,,P126,"Water Bottle",Utilities,"Global Distributors","Chennai WH",199,107,149.31,172.58,9,South
ORD003259,24/03/2024,P283,"Cleaning Liquid",Maintenance,"Global Distributors","Mumbai WH",642,104,181.06,209.02,5,North
ORD003260,07/10/2024,P179,"Water Bottle",Stationary,"XYZ Traders","Delhi WH",118,100,19.76,174.54,3,East
ORD003241,2024-01-17,P151,"Printer Paper",Maintenance,"XYZ Traders","Delhi WH",587,105,50.98,99.45,4,East
ORD003242,2024/06/02,P211,Marker,Maintenance,"ABC Supplies","Delhi WH",761,94,42.09,294.54,,South
ORD003243,2024-13-01,P190,"Printer Paper",Stationary,"LMN Corp","Mumbai WH",686,58,79.79,51.57,1,West
ORD003244,,P159,Notebook,Utilities,"Global Distributors","Chennai WH",617,173,185.66,315.24,6,West
ORD003245,2024-13-01,P286,"Printer Paper",Utilities,"LMN Corp","Chennai WH",962,NULL,122.92,145.11,2,West
ORD003246,,P236,"Printer Paper",Stationary,"XYZ Traders","Pune WH",566,136,42.81,336.49,5,West
ORD003247,,P147,Notebook,Utilities,"ABC Supplies","Delhi WH",487,20,13.09,166.5,4,West
ORD003248,01/09/2024,P273,Notebook,Stationary,"ABC Supplies","Pune WH",NULL,134,41.14,324.89,,East
ORD003249,2024/04/17,P270,Pen,Utilities,"LMN Corp","Delhi WH",558,189,59.48,100.11,3,North
ORD003250,2024-13-01,P233,"Water Bottle",Maintenance,"XYZ Traders","Pune WH",NULL,139,10.78,292.04,9,North
ORD003231,21/09/2024,P137,"Water Bottle",Stationary,"ABC Supplies","Chennai WH",557,12,177.86,163.85,5,West
ORD003232,14/04/2024,P129,"Cleaning Liquid",Maintenance,"Global Distributors","Pune WH",NULL,76,147.21,230.77,10,East
ORD003233,24/07/2024,P150,Marker,Stationary,"Global Distributors","Chennai WH",158,159,100.61,184.35,7,West
ORD003234,2024/07/17,P158,"Water Bottle",Stationary,"Global Distributors","Mumbai WH",612,105,63.05,138.85,4,East
ORD003235,,P113,Marker,Utilities,"XYZ Traders","Delhi WH",424,125,191.46,223.55,2,North
ORD003236,,P184,"Printer Paper",Maintenance,"Global Distributors","Mumbai WH",404,8,58.94,132.23,,South
ORD003237,,P279,"Printer Paper",Utilities,"XYZ Traders","Chennai WH",316,114,126.59,330.69,9,South
ORD003238,2024-03-16,P215,Notebook,Utilities,"ABC Supplies","Pune WH",290,53,22.67,287.32,9,South
ORD003239,,P162,"Water Bottle",Maintenance,"LMN Corp","Mumbai WH",263,96,113.61,196.03,2,East
ORD003240,2024/11/09,P129,"Printer Paper",Utilities,"XYZ Traders","Pune WH",NULL,81,183.87,309.22,3,North
ORD003221,2024-13-01,P107,"Cleaning Liquid",Utilities,"LMN Corp","Pune WH",202,0,14.01,202.19,6,West
ORD003222,,P163,Notebook,Utilities,"Global Distributors","Pune WH",?,103,?,191.14,7,East
ORD003223,2024-13-01,P124,Pen,Utilities,"ABC Supplies","Delhi WH",811,151,92.72,56.88,9,North
ORD003224,14/01/2024,P129,Marker,Maintenance,"LMN Corp","Mumbai WH",441,0,119.34,92.45,4,North
ORD003225,2024/06/05,P162,Notebook,Utilities,"XYZ Traders","Delhi WH",250,0,198.01,298.33,7,South
ORD003226,16/07/2024,P190,Marker,Maintenance,"XYZ Traders","Mumbai WH",356,10,?,194.71,,West
ORD003227,,P158,"Cleaning Liquid",Maintenance,"ABC Supplies","Mumbai WH",493,7,56.14,67.72,,North
ORD003228,2024-13-01,P244,"Water Bottle",Utilities,"LMN Corp","Mumbai WH",?,19,77.95,227.8,5,South
ORD003229,2024/06/29,P134,Pen,Utilities,"Global Distributors","Mumbai WH",?,124,48.65,73.38,4,North
ORD003230,,P184,"Printer Paper",Maintenance,"XYZ Traders","Chennai WH",NULL,168,108.01,NULL,3,East
ORD003211,2024/11/19,P125,"Cleaning Liquid",Utilities,"LMN Corp","Delhi WH",708,9,50.85,188.06,2,West
ORD003212,2024/05/15,P148,"Printer Paper",Maintenance,"XYZ Traders","Chennai WH",903,173,134.85,60.34,,North
ORD003213,2024/01/09,P100,"Cleaning Liquid",Maintenance,"Global Distributors","Delhi WH",545,126,148.63,198.77,,East
ORD003214,24/05/2024,P277,Notebook,Utilities,"XYZ Traders","Delhi WH",NULL,62,123.27,339.42,7,South
ORD003215,2024/03/01,P251,Notebook,Stationary,"Global Distributors","Mumbai WH",-50,155,206.9,262.28,1,South
ORD003216,2024-13-01,P189,"Printer Paper",Stationary,"XYZ Traders","Mumbai WH",860,148,47.54,311.53,9,East
ORD003217,17/08/2024,P217,"Printer Paper",Utilities,"LMN Corp","Delhi WH",891,101,141.05,320.02,9,East
ORD003218,,P219,Pen,Utilities,"Global Distributors","Pune WH",499,134,113.08,267.66,,East
ORD003219,,P103,"Water Bottle",Utilities,"LMN Corp","Chennai WH",759,33,108.9,316.55,7,West
ORD003220,,P266,"Water Bottle",Utilities,"Global Distributors","Mumbai WH",380,157,170.87,115.08,9,East
ORD003201,,P107,Marker,Maintenance,"ABC Supplies","Chennai WH",328,0,128.02,336.17,5,East
ORD003202,2024/07/24,P220,Notebook,Maintenance,"ABC Supplies","Mumbai WH",128,NULL,168.87,289.1,two,East
ORD003203,,P213,"Water Bottle",Utilities,"XYZ Traders","Chennai WH",15,10,124.91,187.65,6,North
ORD003204,2024/09/05,P131,"Water Bottle",Stationary,"ABC Supplies","Pune WH",930,16,?,235.74,3,West
ORD003205,2024/03/21,P115,"Water Bottle",Utilities,"LMN Corp","Delhi WH",943,112,66.6,147.49,2,East
ORD003206,2024/04/07,P167,"Cleaning Liquid",Utilities,"XYZ Traders","Mumbai WH",720,74,125.99,245.69,,North
ORD003207,2024/10/10,P265,"Water Bottle",Utilities,"XYZ Traders","Delhi WH",74,107,52.96,117.23,9,West
ORD003208,2024/03/08,P277,"Cleaning Liquid",Maintenance,"Global Distributors","Mumbai WH",909,93,102.59,221.56,9,West
ORD003209,13/05/2024,P172,"Water Bottle",Utilities,"ABC Supplies","Pune WH",389,145,160.79,285.47,two,West
ORD003210,2024/09/27,P228,"Cleaning Liquid",Maintenance,"Global Distributors","Delhi WH",-50,125,76.1,240.71,two,West
ORD003391,2024/09/22,P275,Notebook,Utilities,"XYZ Traders","Chennai WH",NULL,38,153.56,317.42,7,West
ORD003392,26/04/2024,P169,"Water Bottle",Maintenance,"ABC Supplies","Delhi WH",313,147,144.46,94.34,5,West
ORD003393,,P117,"Cleaning Liquid",Utilities,"Global Distributors","Pune WH",473,0,44.63,75.82,,North
ORD003394,2024/05/27,P128,Pen,Stationary,"Global Distributors","Chennai WH",471,157,209.83,315.64,3,East
ORD003395,2024/05/30,P134,Marker,Utilities,"ABC Supplies","Chennai WH",NULL,188,59.24,105.43,8,East
ORD003396,2024/10/25,P194,"Cleaning Liquid",Stationary,"LMN Corp","Mumbai WH",523,78,191,248.24,7,East
ORD003397,2024/09/27,P215,Marker,Utilities,"LMN Corp","Mumbai WH",-50,NULL,190.72,56.25,10,East
ORD003398,2024/06/11,P103,"Water Bottle",Maintenance,"XYZ Traders","Pune WH",382,14,39.96,106.04,10,West
ORD003399,,P252,Marker,Utilities,"ABC Supplies","Pune WH",NULL,97,73.82,245.8,10,West
ORD003400,17/08/2024,P108,Pen,Utilities,"LMN Corp","Pune WH",NULL,32,155.79,169.9,,South
ORD003381,02/04/2024,P138,Notebook,Utilities,"LMN Corp","Mumbai WH",143,29,73.2,246.75,4,East
ORD003382,06/12/2024,P187,Pen,Utilities,"ABC Supplies","Mumbai WH",669,11,203.56,309.92,8,North
ORD003383,31/03/2024,P268,Pen,Maintenance,"LMN Corp","Chennai WH",623,188,?,192.82,7,East
ORD003384,2024/08/18,P156,Marker,Maintenance,"ABC Supplies","Delhi WH",NULL,0,99.22,NULL,10,East
ORD003385,06/03/2024,P260,Pen,Maintenance,"ABC Supplies","Delhi WH",NULL,84,179.38,142.82,8,West
ORD003386,06/05/2024,P173,"Water Bottle",Maintenance,"Global Distributors","Pune WH",577,58,158.55,195.72,2,East
ORD003387,2024/06/30,P176,Pen,Maintenance,"XYZ Traders","Chennai WH",682,70,?,280.6,10,West
ORD003388,,P251,Notebook,Stationary,"Global Distributors","Pune WH",425,28,86.61,NULL,3,South
ORD003389,,P172,Pen,Maintenance,"ABC Supplies","Pune WH",313,NULL,143.96,222.97,3,North
ORD003390,2024-13-01,P164,Marker,Maintenance,"ABC Supplies","Delhi WH",914,198,61.88,53.84,4,West
ORD003371,,P130,Pen,Stationary,"LMN Corp","Chennai WH",533,166,179.44,NULL,,West
ORD003372,2024/07/12,P252,Notebook,Maintenance,"LMN Corp","Delhi WH",54,188,62.01,NULL,,West
ORD003373,2024/07/07,P174,Notebook,Utilities,"ABC Supplies","Chennai WH",107,80,78.53,313.67,4,East
ORD003374,2024/06/01,P179,"Water Bottle",Utilities,"Global Distributors","Chennai WH",892,71,150.29,84.72,7,East
ORD003375,2024/09/05,P138,"Cleaning Liquid",Stationary,"LMN Corp","Chennai WH",417,56,17.56,104.97,,North
ORD003376,28/04/2024,P199,Marker,Stationary,"Global Distributors","Chennai WH",268,0,179.5,343.22,10,West
ORD003377,,P162,Pen,Stationary,"LMN Corp","Delhi WH",551,194,121.11,284.67,4,North
ORD003378,2024-13-01,P126,"Water Bottle",Stationary,"LMN Corp","Pune WH",365,164,82.67,194.33,two,East
ORD003379,21/03/2024,P220,Pen,Maintenance,"LMN Corp","Pune WH",253,85,162.45,245.97,7,South
ORD003380,09/06/2024,P111,"Cleaning Liquid",Maintenance,"LMN Corp","Chennai WH",119,64,?,218.98,4,West
ORD003361,2024/07/22,P230,Marker,Maintenance,"ABC Supplies","Pune WH",?,76,170.65,NULL,,South
ORD003362,,P180,Pen,Maintenance,"XYZ Traders","Pune WH",218,45,118.42,123.14,two,East
ORD003363,2024/02/25,P182,Marker,Maintenance,"XYZ Traders","Pune WH",57,3,19.86,285.74,8,West
ORD003364,2024-13-01,P155,"Water Bottle",Stationary,"XYZ Traders","Pune WH",861,100,79.05,NULL,two,West
ORD003365,,P293,"Water Bottle",Maintenance,"ABC Supplies","Pune WH",270,112,36.76,198.34,,South
ORD003366,08/08/2024,P202,"Water Bottle",Stationary,"Global Distributors","Chennai WH",502,67,140.99,177.46,,West
ORD003367,2024-13-01,P225,Pen,Stationary,"XYZ Traders","Delhi WH",588,31,196.94,154.92,6,North
ORD003368,2024/12/14,P165,"Water Bottle",Maintenance,"Global Distributors","Mumbai WH",?,13,163.5,339.85,9,East
